user_pseudo_id,diff_cnt_fail,diff_cnt_retry,diff_cnt_level_up,diff_max_level,diff_num_distinct_levels,diff_max_score,diff_mean_score,diff_cnt_scores
1845E883F5E20391CD3BD68F488A3C5E,20,18,23,24,25,21,5.041666666666666,24
7B4198B05CE36E11C2623428A090BE16,0,22,22,19,20,21,6.739130434782609,23
76633D2AB766B70D281F018B53E3314C,1,23,22,22,22,21,7.2727272727272725,22
1814CCF8B0BD30480C6D375743010FAE,5,28,24,25,25,21,5.208333333333334,24
336FED02BA10D201C1B88C1CECB2E9D1,19,39,24,25,25,21,4.708333333333334,24
F2D0B7E8667E4855BEFD39ECA3185BF7,1,9,9,25,9,10,4.000000000000001,9
DAC0EAB11F253D2173A6FAA79AF5DCAB,1,1,0,25,1,,,0
49F9F37D8049227C24BB55A8D6C29578,7,17,15,16,17,21,4.80952380952381,21
D7DD6C9A91A91AB9F2FF3444A9BD96F1,4,32,28,20,21,21,5.586206896551723,29
38433068597B386A0AFA31108A2346E0,0,30,30,31,31,21,6.333333333333334,30
A0E93D033E25966AB516BE78D143DE7A,14,30,21,22,23,21,5.772727272727273,22
60771C5E3F0552AE82C69665F14E9805,1,7,6,11,7,2,1.3333333333333335,6
01B251A762C06291B7681D018B43E42A,0,22,22,23,23,21,7.772727272727273,22
4E5DFECCF4C908266F4CACC26F7AFE6D,7,31,25,26,26,21,4.7200000000000015,25
B6B8C0DA3E4895115A7C8E09B23AA079,11,35,25,25,25,21,4.839999999999999,25
CE56946091344ADC2D0AB88D49B83ED1,16,55,35,31,32,21,4.179487179487179,39
F2A1619D00447FB2458B8CAA9C24AD59,10,33,23,24,24,21,5.391304347826087,23
3FF72359059E0717967E91F769CD6860,1,21,20,14,14,21,7.1000000000000005,20
0BB0348106431EB9E1CBC1E9176041BE,0,2,2,31,4,2,0.75,4
77F7DA4FC2653D4C5E65738AAAB2CEEF,0,11,11,31,12,16,5.363636363636363,11
FE1406E149A6084DDF859CE9AD431579,2,17,15,16,16,21,6.066666666666666,15
645FCF6A808C87AEE6F06DB7418F56E3,0,0,8,17,9,15,8.0,8
